"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TRMT6",193.454502063973,0.283281058393945,0.0963773136456939,2.93929191090918,0.00328963084700327,0.125858996692182
"TPGS2",558.192748943525,0.283411461595989,0.0924441972024523,3.06575718295567,0.00217119560966505,0.105127395742706
"CNPY4",199.321379927061,0.28445062693048,0.124093483000782,2.29222856875319,0.0218924572293846,0.285618995144625
"TUBG1",393.488764381827,0.284524341265153,0.112595179552573,2.52696733906183,0.0115052201735881,0.216230858478101
"AL832909",222.393393729614,0.285765222089712,0.11772169822874,2.42746431957219,0.0152047823702836,0.248204964623872
"COTL1",1226.07024031929,0.286676222709851,0.137220319889277,2.08916742754404,0.0366926544068557,0.340192469088522
"MAFB",1989.54962470825,0.286798394281912,0.103341454821879,2.77525021083014,0.00551592531107983,0.15938560560503
"MPHOSPH6",144.391241530916,0.287391448266138,0.135558021480538,2.12006228128225,0.0340007933235838,0.332752652197132
"ASPN",676.446795879077,0.287503821173917,0.122048629100912,2.35564973807451,0.0184903431940088,0.264784964423799
"PDE7A",276.635252590701,0.287583647596322,0.12133433323824,2.37017536521712,0.0177796499917623,0.262904710136118
"NOP2",476.19883146124,0.288025745205422,0.135713076513441,2.12231387427796,0.0338113891533417,0.332530733730596
"ZNF783",123.065937679569,0.288372110457431,0.0994323175703256,2.90018494493476,0.00372942540968703,0.132318735788232
"ETV5",432.183422329761,0.289569652066298,0.141672215563057,2.04394101493678,0.0409593746317631,0.351682667547465
"RAB32",690.025143318671,0.289650859169159,0.135560312718571,2.136693648461,0.0326229169548889,0.328763199036527
"ZFAND2A",671.904978711286,0.290099562605171,0.139416255217246,2.0808159145655,0.037450758905417,0.341221682711518
"FHL1",1130.30433918182,0.291697617701429,0.105529971884343,2.76412105957084,0.00570763592205267,0.162212383520567
"VRK1",119.818065228137,0.291726163535729,0.118271699944805,2.46657622805684,0.013641169007584,0.235138512153984
"ODC1",1283.70582768799,0.292409709923375,0.125813188839189,2.32415784562241,0.0201170356859162,0.272782904543954
"PDLIM1",2549.80803985701,0.292510611730432,0.0864072218877943,3.38525652532004,0.000711117639866407,0.0660497730379907
"YWHAZ",4192.39924890799,0.292517987797104,0.0737857539043816,3.9644236498034,7.35734895282681e-05,0.0270897588443083
"C6orf1",130.1054827346,0.292687692261508,0.138997577804874,2.10570354450626,0.0352301117569264,0.337417898494244
"PNMA1",176.484052070388,0.293185645974563,0.122295350174659,2.39735726301813,0.0165138135837431,0.257159189162631
"STK17B",294.325991173407,0.293484437563511,0.146678468097435,2.00086925756926,0.0454064813403656,0.367262371314472
"EXT1",1598.72671180777,0.294019841838453,0.121267017182576,2.42456562938119,0.0153267127574962,0.248276754082984
"TRERF1",136.899739773345,0.294522514451965,0.14017959282179,2.10103702345883,0.0356377163597638,0.337417898494244
"RAP2B",315.343493122904,0.294801152113089,0.106980483157971,2.75565358662453,0.00585749970779609,0.163940730842016
"LCP1",4325.20556724224,0.295579578832837,0.124100601236917,2.38177394699768,0.0172294702592947,0.259510673426656
"ARHGDIB",2352.80076001969,0.295890458262898,0.137453356008925,2.152660850592,0.0313453424213451,0.324639397052139
"CHMP4A",322.372449497944,0.29593483601318,0.104160862661872,2.84113272922717,0.00449535983119125,0.14633323584088
"NXT1",119.510521708384,0.296385759389165,0.121835476903108,2.43267205023437,0.0149878690202735,0.246303883713678
"CORO1C",1698.80621277234,0.296803511068722,0.116943890166114,2.53799929733075,0.0111488208288545,0.212770705706189
"PLBD1",307.613765185499,0.296896978606819,0.135607680742452,2.1893817295695,0.0285691064712496,0.313515084538419
"ELOVL5",2674.05859519339,0.298798615671497,0.13302087796483,2.24625352232676,0.0246877737433341,0.301494142598685
"NUP93",344.970536089577,0.299030043238154,0.117920019323838,2.53587172859039,0.0112167811447114,0.212770705706189
"BCKDK",1575.47916158844,0.299760949520235,0.110476979454117,2.71333404480642,0.00666099228316437,0.170931662806565
"PDCL3",237.445662756549,0.299775613355239,0.119495665036505,2.50867354279053,0.0121185424245704,0.22211518742556
"ITGB1BP1",510.681064231019,0.301449046144843,0.094639851203946,3.18522316244168,0.001446424205319,0.0871483733015655
"SYK",487.640507077322,0.30157267402591,0.151984795798132,1.98422922794503,0.0472302916475259,0.373180115549765
"CFL1",5068.99027404115,0.301671034336134,0.111151636189526,2.71404942543311,0.00664662487797373,0.170931662806565
"FZD1",240.659724324508,0.30212845494445,0.143195334666178,2.10990431810353,0.0348665982517344,0.336854032905532
"Sep/06",1418.1539385602,0.302459639294965,0.090002689303254,3.36056224137771,0.000777840024659636,0.0674766040240079
"RPA2",906.91675687273,0.302653364747515,0.138837843908229,2.17990539342837,0.0292644750649311,0.315063734470984
"STMN1",471.319462322728,0.302787474995617,0.110538779586964,2.73919683324715,0.00615894878646667,0.164018968809553
"DFNA5",209.916453027928,0.302967095124585,0.141622543986058,2.13925754048318,0.0324148163774388,0.328615256868585
"CBFB",318.542597756964,0.303188339579484,0.139049625848072,2.18043261699066,0.0292254085806208,0.315063734470984
"TSC22D1",2915.53912992284,0.30335694907223,0.0884942473807556,3.42798496005063,0.000608079146664141,0.0616890035455598
"IRF1",1022.97623060152,0.303419682840193,0.12976019941786,2.3383108549572,0.0193711283221192,0.269235262046656
